posicion,etiqueta
01010410102,
01010410201,30557690100718033950
01010410202,30557690100617098337
01010410301,
01010410302,
01010410401,
01010410402,
01010410501,30557690100819022265
01010410502,30557690101729097383
01010410601,
01010410602,
01010410701,
01010410702,
01010410801,30557690100921048032
01010410802,30557690100718040388
01010420101,
01010420102,
01010420201,
01010420202,
01010420301,30557690101729025942
01010420302,30557690101628066488
01010420401,
01010420402,
01010420501,
01010420502,
01010420601,
01010420602,
01010420701,
01010420702,
01010420801,
01010420802,
01010430101,
01010430102,
01010430201,
01010430202,
01010430301,
01010430302,
01010430401,30557690100011091625
01010430402,30557690100921058722
01010430501,
01010430502,
01010430601,30557690100617094126
01010430602,30557690101729035897
01010430701,30557690100718010857
01010430702,30557690100112018063
01010430801,
01010430802,
01010440101,
01010440102,
01010440201,
01010440202,
01010440301,
01010440302,
01010440401,
01010440402,
01010440501,30557690100213030959
01010440502,30557690100516055769
01010440601,
01010440602,
01010440701,
01010440702,
01010440801,
01010440802,
01010450101,
01010450102,
01010450201,
01010450202,
01010450301,
01010450302,
01010450401,
01010450402,
01010450501,
01010450502,
01010450601,
01010450602,
01010450701,30557690101527058445
01010450702,30557690101932061364
01010450801,30557690101831071700
01010450802,30557690100314073355
01010460101,30557690100921063395
01010460102,30557690101426090312
01010460201,
01010460202,
01010460301,
01010460302,
01010460401,
01010460402,
01010460501,
01010460502,
01010460601,
01010460602,
01010460701,
01010460702,
01010460801,
01010460802,
01010470101,
01010470102,
01010470201,30557690101325022281
01010470202,30557690101932087307
01010470301,
01010470302,
01010470401,30557690100617028678
01010470402,30557690100415071142
01010470501,
01010470502,
01010470601,
01010470602,
01010470701,30557690101022061473
01010470702,30557690101729021859
01010470801,
01010470802,
01010480101,
01010480102,
01010480201,30557690100516097857
01010480202,30557690101527063739
01010480301,
01010480302,
01010480401,
01010480402,
01010480501,
01010480502,
01010480601,
01010480602,
01010480701,30557690101932019798
01010480702,30557690101325072726
01010480801,30557690100819084633
01010480802,30557690100516025633
01010490101,30557690101628035162
01010490102,30557690101932078135
01010490201,
01010490202,
01010490301,30557690100718071781
01010490302,30557690100314062436
01010490401,30557690100718096404
01010490402,30557690100819089470
01010490501,
01010490502,
01010490601,
01010490602,
01010490701,30557690100516096701
01010490702,30557690101628042435
01010490801,30557690101224085264
01010490802,30557690101932043091
01010500101,30557690100617062443
01010500102,30557690100112025264
01010500201,
01010500202,
01010500301,
01010500302,
01010500401,
01010500402,
01010500501,30557690101831030167
01010500502,30557690101224014523
01010500601,
01010500602,
01010500701,
01010500702,
01010500801,30557690100819074111
01010500802,30557690100011041075
01010510101,
01010510102,
01010510201,30557690100415073842
01010510202,30557690101224065979
01010510301,30557690101932067965
01010510302,30557690101022022680
01010510401,
01010510402,
01010510501,
01010510502,
01010510601,
01010510602,
01010510701,
01010510702,
01010510801,30557690100415066435
01010510802,30557690100819097176
01010520101,30557690100617071415
01010520102,30557690101628013617
01010520201,
01010520202,
01010520301,30557690101022084482
01010520302,30557690100011057652
01010520401,
01010520402,
01010520501,
01010520502,
01010520601,
01010520602,
01010520701,
01010520702,
01010520801,
01010520802,
01010530101,30557690100112017199
01010530102,30557690100415056248
01010530201,
01010530202,
01010530301,30557690100314038073
01010530302,30557690100314088370
01010530401,
01010530402,
01010530501,
01010530502,
01010530601,30557690101123038911
01010530602,30557690100921070689
01010530701,30557690101426076461
01010530702,30557690101325019356
01010530801,30557690101729081601
01010530802,30557690100921052389
01010540101,
01010540102,
01010540201,30557690101022018989
01010540202,30557690101224019375
01010540301,
01010540302,
01010540401,
01010540402,
01010540501,
01010540502,
01010540601,30557690101527098594
01010540602,30557690101932080730
01010540701,30557690101123089575
01010540702,30557690100718025323
01010540801,
01010540802,
01010550101,
01010550102,
01010550201,
01010550202,
01010550301,
01010550302,
01010550401,30557690100921013247
01010550402,30557690100516060530
01010550501,
01010550502,
01010550601,
01010550602,
01010550701,
01010550702,
01010550801,
01010550802,
01010560101,
01010560102,
01010560201,30557690101932065298
01010560202,30557690100617055755
01010560301,
01010560302,
01010560401,
01010560402,
01010560501,
01010560502,
01010560601,30557690101831076999
01010560602,30557690100819073657
01010560701,30557690101123055213
01010560702,30557690100314088476
01010560801,
01010560802,
01010570101,30557690100718071469
01010570102,30557690100314079774
01010570201,30557690100112016209
01010570202,30557690101224070893
01010570301,
01010570302,
01010570401,
01010570402,
01010570501,30557690100819080120
01010570502,30557690101729097416
01010570601,
01010570602,
01010570701,
01010570702,
01010570801,30557690100516034493
01010570802,30557690100516076806
01010580101,
01010580102,
01010580201,
01010580202,
01010580301,
01010580302,
01010580401,
01010580402,
01010580501,
01010580502,
01010580601,30557690101527046681
01010580602,30557690100617089663
01010580701,
01010580702,
01010580801,
01010580802,
01010590101,30557690100921055818
01010590102,30557690100213020643
01010590201,
01010590202,
01010590301,
01010590302,
01010590401,30557690100921031590
01010590402,30557690101325049148
01010590501,
01010590502,
01010590601,
01010590602,
01010590701,30557690100112067509
01010590702,30557690100617038096
01010590801,
01010590802,
01010600101,
01010600102,
01010600201,30557690101628064037
01010600202,30557690100617048115
01010600301,30557690101123062443
01010600302,30557690100617097801
01010600401,30557690101527097016
01010600402,30557690100314067296
01010600501,
01010600502,
01010600601,30557690100011014667
01010600602,30557690100718080408
01010600701,
01010600702,
01010600801,
01010600802,
01020010101,30557690100617030810
01020010102,30557690100819076052
01020010201,
01020010202,
01020010301,30557690100921077584
01020010302,30557690101224066807
01020010401,
01020010402,
01020010501,
01020010502,
01020010601,
01020010602,
01020010701,
01020010702,
01020010801,
01020010802,
01020020101,30557690100516022775
01020020102,30557690100112030335
01020020201,
01020020202,
01020020301,30557690100415098495
01020020302,30557690100314027720
01020020401,
01020020402,
01020020501,30557690100617075080
01020020502,30557690101325015645
01020020601,
01020020602,
01020020701,30557690101123079865
01020020702,30557690101022015543
01020020801,30557690100011065765
01020020802,30557690100617076171
01020030101,
01020030102,
01020030201,30557690101224029481
01020030202,30557690101325025009
01020030301,
01020030302,
01020030401,
01020030402,
01020030501,
01020030502,
01020030601,
01020030602,
01020030701,30557690100921041926
01020030702,30557690100921040748
01020030801,
01020030802,
01020040101,
01020040102,
01020040201,
01020040202,
01020040301,
01020040302,
01020040401,
01020040402,
01020040501,30557690100921038025
01020040502,30557690101426069352
01020040601,30557690100819055058
01020040602,30557690101527096784
01020040701,30557690100213064927
01020040702,30557690101123028688
01020040801,
01020040802,
01020050101,
01020050102,
01020050201,
01020050202,
01020050301,
01020050302,
01020050401,
01020050402,
01020050501,
01020050502,
01020050601,30557690101729025914
01020050602,30557690101729015380
01020050701,
01020050702,
01020050801,
01020050802,
01020060101,
01020060102,
01020060201,30557690101628017612
01020060202,30557690100516067423
01020060301,
01020060302,
01020060401,
01020060402,
01020060501,30557690101729050237
01020060502,30557690100617089457
01020060601,
01020060602,
01020060701,30557690101527026054
01020060702,30557690101932030144
01020060801,
01020060802,
01020070101,30557690100819087046
01020070102,30557690101426031502
01020070201,
01020070202,
01020070301,
01020070302,
01020070401,
01020070402,
01020070501,
01020070502,
01020070601,
01020070602,
01020070701,
01020070702,
01020070801,
01020070802,
01020080101,30557690100415026761
01020080102,30557690101729086113
01020080201,
01020080202,
01020080301,
01020080302,
01020080401,
01020080402,
01020080501,
01020080502,
01020080601,30557690101729060118
01020080602,30557690101123065276
01020080701,30557690100112075434
01020080702,30557690101932010207
01020080801,
01020080802,
01020090101,
01020090102,
01020090201,
01020090202,
01020090301,
01020090302,
01020090401,30557690100314040031
01020090402,30557690100516053809
01020090501,
01020090502,
01020090601,
01020090602,
01020090701,30557690101527047340
01020090702,30557690101022097517
01020090801,
01020090802,
01020100101,
01020100102,
01020100201,
01020100202,
01020100301,
01020100302,
01020100401,
01020100402,
01020100501,
01020100502,
01020100601,30557690100314070975
01020100602,30557690101729022597
01020100701,
01020100702,
01020100801,
01020100802,
01020110101,
01020110102,
01020110201,30557690101022091452
01020110202,30557690100011043646
01020110301,30557690100617087974
01020110302,30557690100213012465
01020110401,
01020110402,
01020110501,
01020110502,
01020110601,
01020110602,
01020110701,
01020110702,
01020110801,
01020110802,
01020120101,
01020120102,
01020120201,
01020120202,
01020120301,30557690101123082450
01020120302,30557690100314021867
01020120401,30557690101325092015
01020120402,30557690101628027810
01020120501,30557690101831083505
01020120502,30557690101022096290
01020120601,30557690100718036562
01020120602,30557690101932032614
01020120701,
01020120702,
01020120801,
01020120802,
01020130101,
01020130102,
01020130201,
01020130202,
01020130301,
01020130302,
01020130401,30557690100516020610
01020130402,30557690100718021418
01020130501,30557690101022085339
01020130502,30557690101426038257
01020130601,
01020130602,
01020130701,
01020130702,
01020130801,
01020130802,
01020140101,30557690100516093306
01020140102,30557690100921024909
01020140201,30557690101932050865
01020140202,30557690101426081218
01020140301,
01020140302,
01020140401,
01020140402,
01020140501,30557690101932036216
01020140502,30557690101426012789
01020140601,
01020140602,
01020140701,
01020140702,
01020140801,30557690100921034542
01020140802,30557690101224034740
01020150101,30557690100011013734
01020150102,30557690101325077362
01020150201,30557690101831099596
01020150202,30557690101022056728
01020150301,30557690100516023476
01020150302,30557690101628024243
01020150401,
01020150402,
01020150501,30557690101325013770
01020150502,30557690101426074629
01020150601,
01020150602,
01020150701,
01020150702,
01020150801,30557690101123040867
01020150802,30557690100819047786
01020160101,30557690100921015489
01020160102,30557690101831087520
01020160201,
01020160202,
01020160301,30557690101022032610
01020160302,30557690100921010972
01020160401,30557690101224043859
01020160402,30557690100617046295
01020160501,30557690100921015593
01020160502,30557690100415098313
01020160601,30557690100011021277
01020160602,30557690101022069512
01020160701,
01020160702,
01020160801,
01020160802,
01020170101,30557690101325097743
01020170102,30557690101325044294
01020170201,
01020170202,
01020170301,
01020170302,
01020170401,
01020170402,
01020170501,30557690101325030887
01020170502,30557690100921086381
01020170601,30557690101831097217
01020170602,30557690101123039484
01020170701,
01020170702,
01020170801,
01020170802,
01020180101,30557690100819092099
01020180102,30557690100011012867
01020180201,
01020180202,
01020180301,30557690100415063316
01020180302,30557690101729050600
01020180401,
01020180402,
01020180501,30557690101022039844
01020180502,30557690100011021328
01020180601,
01020180602,
01020180701,
01020180702,
01020180801,
01020180802,
01020190101,
01020190102,
01020190201,
01020190202,
01020190301,
01020190302,
01020190401,30557690101729029298
01020190402,30557690100213013607
01020190501,30557690100617092596
01020190502,30557690101932053940
01020190601,30557690100718082484
01020190602,30557690100112054871
01020190701,
01020190702,
01020190801,
01020190802,
01020200101,
01020200102,
01020200201,
01020200202,
01020200301,
01020200302,
01020200401,
01020200402,
01020200501,
01020200502,
01020200601,
01020200602,
01020200701,30557690100011026481
01020200702,30557690100819026141
01020200801,30557690101932037879
01020200802,30557690101527048174
01020210101,30557690101831061257
01020210102,30557690101628057516
01020210201,
01020210202,
01020210301,
01020210302,
01020210401,30557690100314049328
01020210402,30557690100314052390
01020210501,
01020210502,
01020210601,30557690101932095596
01020210602,30557690100213063521
01020210701,
01020210702,
01020210801,
01020210802,
01020220101,
01020220102,
01020220201,30557690100112033884
01020220202,30557690100921038955
01020220301,
01020220302,
01020220401,30557690100415047951
01020220402,30557690101123011036
01020220501,
01020220502,
01020220601,
01020220602,
01020220701,
01020220702,
01020220801,30557690100819023130
01020220802,30557690101628010835
01020230101,30557690100921044488
01020230102,30557690100011088160
01020230201,
01020230202,
01020230301,
01020230302,
01020230401,30557690101022013077
01020230402,30557690101426053979
01020230501,
01020230502,
01020230601,30557690101628053902
01020230602,30557690100617029468
01020230701,
01020230702,
01020230801,
01020230802,
01020240101,
01020240102,
01020240201,
01020240202,
01020240301,30557690100921057654
01020240302,30557690100617054028
01020240401,30557690101527013071
01020240402,30557690101426012719
01020240501,
01020240502,
01020240601,30557690100415065094
01020240602,30557690101426028894
01020240701,
01020240702,
01020240801,
01020240802,
01020250101,30557690101932010842
01020250102,30557690100314035756
01020250201,
01020250202,
01020250301,
01020250302,
01020250401,
01020250402,
01020250501,30557690101426050542
01020250502,30557690101123083442
01020250601,
01020250602,
01020250701,
01020250702,
01020250801,
01020250802,
01020260101,30557690100011046604
01020260102,30557690101123099339
01020260201,
01020260202,
01020260301,30557690101729015608
01020260302,30557690100314064003
01020260401,
01020260402,
01020260501,
01020260502,
01020260601,
01020260602,
01020260701,
01020260702,
01020260801,30557690100112063465
01020260802,30557690101022088651
01020270101,
01020270102,
01020270201,30557690100718095749
01020270202,30557690100516037674
01020270301,30557690101729035119
01020270302,30557690101527031185
01020270401,
01020270402,
01020270501,30557690100415049543
01020270502,30557690101224070710
01020270601,
01020270602,
01020270701,
01020270702,
01020270801,
01020270802,
01020280101,30557690101729048378
01020280102,30557690101831012989
01020280201,
01020280202,
01020280301,30557690100819022810
01020280302,30557690101628075550
01020280401,
01020280402,
01020280501,
01020280502,
01020280601,30557690101426083749
01020280602,30557690100819031949
01020280701,
01020280702,
01020280801,30557690101831036802
01020280802,30557690100819094212
01020290101,
01020290102,
01020290201,
01020290202,
01020290301,
01020290302,
01020290401,
01020290402,
01020290501,30557690101527048691
01020290502,30557690101932046639
01020290601,
01020290602,
01020290701,30557690101022037748
01020290702,30557690100718093496
01020290801,
01020290802,
01020300101,
01020300102,
01020300201,
01020300202,
01020300301,30557690101729025582
01020300302,30557690100213081589
01020300401,
01020300402,
01020300501,30557690101325096627
01020300502,30557690101527011180
01020300601,30557690100213070305
01020300602,30557690101628027201
01020300701,
01020300702,
01020300801,30557690100415037008
01020300802,30557690100921078191
01020310101,
01020310102,
01020310201,
01020310202,
01020310301,30557690100617085462
01020310302,30557690101628088299
01020310401,30557690100718078610
01020310402,30557690100819073734
01020310501,
01020310502,
01020310601,
01020310602,
01020310701,30557690100011022277
01020310702,30557690100921082068
01020310801,
01020310802,
01020320101,
01020320102,
01020320201,30557690100011083810
01020320202,30557690101325025074
01020320301,30557690100819079854
01020320302,30557690101932017649
01020320401,
01020320402,
01020320501,
01020320502,
01020320601,
01020320602,
01020320701,30557690100011010053
01020320702,30557690101123017234
01020320801,30557690101831060214
01020320802,30557690100415060088
01020330101,
01020330102,
01020330201,
01020330202,
01020330301,30557690100617083224
01020330302,30557690101325024877
01020330401,30557690101426016648
01020330402,30557690100718037680
01020330501,
01020330502,
01020330601,
01020330602,
01020330701,
01020330702,
01020330801,30557690101022019066
01020330802,30557690101831062681
01020340101,30557690100112086844
01020340102,30557690101831088145
01020340201,
01020340202,
01020340301,
01020340302,
01020340401,
01020340402,
01020340501,30557690100415039760
01020340502,30557690100718096652
01020340601,
01020340602,
01020340701,
01020340702,
01020340801,
01020340802,
01020350101,
01020350102,
01020350201,30557690101831023695
01020350202,30557690100415047892
01020350301,30557690101426066625
01020350302,30557690100617035435
01020350401,
01020350402,
01020350501,30557690100112068357
01020350502,30557690100011011086
01020350601,
01020350602,
01020350701,
01020350702,
01020350801,30557690100516049775
01020350802,30557690101831049776
01020360101,30557690101729055329
01020360102,30557690100011065093
01020360201,
01020360202,
01020360301,
01020360302,
01020360401,30557690100314093515
01020360402,30557690101831031544
01020360501,
01020360502,
01020360601,30557690101426039932
01020360602,30557690101022075149
01020360701,
01020360702,
01020360801,30557690100011084239
01020360802,30557690100718090359
01020370101,30557690101426046449
01020370102,30557690101527018825
01020370201,
01020370202,
01020370301,30557690101831049279
01020370302,30557690101831092840
01020370401,
01020370402,
01020370501,30557690100718020368
01020370502,30557690100112051613
01020370601,
01020370602,
01020370701,30557690100819052295
01020370702,30557690100213084281
01020370801,
01020370802,
01020380101,
01020380102,
01020380201,
01020380202,
01020380301,30557690101224090371
01020380302,30557690101932082545
01020380401,30557690101932038585
01020380402,30557690101932086984
01020380501,30557690101123030447
01020380502,30557690100516038313
01020380601,
01020380602,
01020380701,
01020380702,
01020380801,
01020380802,
01020390101,
01020390102,
01020390201,
01020390202,
01020390301,30557690101325080291
01020390302,30557690100718059053
01020390401,30557690101831086258
01020390402,30557690100011048317
01020390501,30557690100617036246
01020390502,30557690101325099284
01020390601,
01020390602,
01020390701,
01020390702,
01020390801,
01020390802,
01020400101,
01020400102,
01020400201,
01020400202,
01020400301,
01020400302,
01020400401,30557690101325088950
01020400402,30557690100112039859
01020400501,
01020400502,
01020400601,
01020400602,
01020400701,
01020400702,
01020400801,
01020400802,
01020410101,
01020410102,
01020410201,
01020410202,
01020410301,
01020410302,
01020410401,
01020410402,
01020410501,
01020410502,
01020410601,
01020410602,
01020410701,30557690101831060788
01020410702,30557690100314080645
01020410801,30557690100415023627
01020410802,30557690101527038432
01020420101,
01020420102,
01020420201,30557690101022040224
01020420202,30557690101831062640
01020420301,
01020420302,
01020420401,
01020420402,
01020420501,
01020420502,
01020420601,
01020420602,
01020420701,
01020420702,
01020420801,
01020420802,
01020430101,
01020430102,
01020430201,
01020430202,
01020430301,
01020430302,
01020430401,
01020430402,
01020430501,
01020430502,
01020430601,
01020430602,
01020430701,
01020430702,
01020430801,
01020430802,
01020440101,
01020440102,
01020440201,30557690101022070797
01020440202,30557690101022032958
01020440301,
01020440302,
01020440401,30557690100314056033
01020440402,30557690100617028790
01020440501,30557690100819094491
01020440502,30557690101729067699
01020440601,
01020440602,
01020440701,
01020440702,
01020440801,
01020440802,
01020450101,30557690101224089924
01020450102,30557690100213048885
01020450201,
01020450202,
01020450301,
01020450302,
01020450401,30557690100314064637
01020450402,30557690100516014751
01020450501,
01020450502,
01020450601,
01020450602,
01020450701,
01020450702,
01020450801,30557690101932091862
01020450802,30557690101831035818
01020460101,
01020460102,
01020460201,
01020460202,
01020460301,
01020460302,
01020460401,
01020460402,
01020460501,
01020460502,
01020460601,30557690100314085231
01020460602,30557690100718043139
01020460701,
01020460702,
01020460801,
01020460802,
01020470101,
01020470102,
01020470201,30557690100314037044
01020470202,30557690101123074482
01020470301,
01020470302,
01020470401,30557690100819028334
01020470402,30557690100617066425
01020470501,30557690101426014658
01020470502,30557690101527017377
01020470601,30557690101022042263
